['m', 'mmmmmmm', 'nnnnnnn', 'mmmmmm', 'nnnnnnnn', 'mmmm', 'mmm', 'mmmmm', 'nnn', 'nnnnnn', 'nn', 'nnnnn', 'mm', 'mmmmmmmm', 'nnnn', 'n']
['SSS', 'S', 'TTT', 'SSSSSSS', 'SSSS', 'TTTTTTT', 'TT', 'SS', 'TTTT', 'T', 'TTTTT', 'TTTTTT', 'SSSSSS', 'SSSSSSSS', 'TTTTTTTT', 'SSSSS']
['LLLLL', 'KKKK', 'KKKKKKK', 'LLLLLLLL', 'KKKKK', 'L', 'LLLLLLL', 'LLL', 'KKKKKKKK', 'LL', 'KKKKKK', 'LLLLLL', 'KK', 'KKK', 'LLLL', 'K']
['JJJJJJ', 'IIIII', 'IIIIII', 'JJJ', 'IIIIIIII', 'III', 'JJJJJJJ', 'II', 'IIIIIII', 'JJ', 'JJJJJJJJ', 'I', 'JJJJ', 'J', 'JJJJJ', 'IIII']
['2222', '22222222', '222', '1111', '11111', '1', '22222', '222222', '2222222', '11', '2', '111', '1111111', '111111', '11111111', '22']
['X', 'WWWW', 'XXXXXX', 'XXXXX', 'XXXX', 'XXXXXXX', 'WWWWWW', 'W', 'WWWWWWWW', 'XXX', 'WWWWW', 'XX', 'XXXXXXXX', 'WWW', 'WWWWWWW', 'WW']
['ZZZZZZZ', 'YYYYYY', 'YYY', 'YY', 'YYYYYYY', 'ZZZZZZZZ', 'Y', 'ZZ', 'YYYYYYYY', 'ZZZ', 'ZZZZ', 'ZZZZZ', 'YYYY', 'ZZZZZZ', 'Z', 'YYYYY']
['EE', 'FFFFFFF', 'FFF', 'E', 'FF', 'FFFFF', 'EEEE', 'FFFFFFFF', 'FFFFFF', 'FFFF', 'EEEEE', 'F', 'EEEEEEEE', 'EEE', 'EEEEEE', 'EEEEEEE']
['55555555', '66666', '6', '66', '6666666', '555', '5555555', '55', '6666', '666666', '55555', '66666666', '5', '555555', '5555', '666']
['BBB', 'AAAAAAAA', 'AAAA', 'AAA', 'B', 'BBBBBBBB', 'AA', 'BBBBB', 'BBBB', 'AAAAA', 'BBBBBB', 'A', 'BB', 'AAAAAA', 'BBBBBBB', 'AAAAAAA']
['QQQQQQ', 'QQQ', 'RR', 'RRRRRRR', 'QQQQQQQ', 'QQQQQ', 'R', 'RRR', 'RRRRRRRR', 'RRRRR', 'QQQQQQQQ', 'Q', 'QQQQ', 'RRRR', 'QQ', 'RRRRRR']
['aaa', 'aa', 'bbbbb', 'aaaa', 'aaaaaaa', 'bbbb', 'aaaaaaaa', 'aaaaaa', 'a', 'aaaaa', 'bbb', 'bb', 'b', 'bbbbbb', 'bbbbbbbb', 'bbbbbbb']
['NNNNNN', 'NNNN', 'MMMMMMMM', 'NNNNNNN', 'NNN', 'MMMMMMM', 'NNNNN', 'M', 'NN', 'MMMM', 'NNNNNNNN', 'MMM', 'MMMMMM', 'MM', 'MMMMM', 'N']
['33', '4444', '4444444', '3333333', '444', '33333333', '333333', '333', '444444', '4', '44444', '44444444', '3', '44', '3333', '33333']
['ttttt', 'ttt', 's', 'tttttttt', 'sss', 't', 'ss', 'tt', 'ssss', 'ssssssss', 'sssssss', 'sssss', 'ttttttt', 'ssssss', 'tttt', 'tttttt']
['pppp', 'o', 'oooooo', 'pp', 'pppppp', 'p', 'ppppppp', 'ooo', 'pppppppp', 'ooooooo', 'ppp', 'ooooo', 'oo', 'oooo', 'ppppp', 'oooooooo']
