['357', '975', '742', '369', '703', '15', '129', '495', '863', '353', '500', '581', '435', '874', '891', '155', '916', '723', '553', '211', '838', '929', '515', '748', '388', '386', '196', '281', '144', '83', '563', '126', '648', '690', '521', '289', '414', '192', '411', '919']
['892', '321', '539', '170', '131', '177', '181', '896', '476', '238', '707', '925', '577', '786', '328', '996', '133', '555', '433', '339', '203', '977', '431', '110', '153', '776', '33', '559', '894', '665', '387', '488', '266', '160', '486', '40', '935', '655', '161', '98']
['827', '134', '928', '570', '95', '137', '202', '710', '286', '629', '945', '902', '295', '2', '397', '704', '618', '938', '228', '223', '326', '346', '114', '964', '52', '70', '695', '183', '408', '721', '340', '901', '763', '162', '701', '951', '697', '907', '799', '932']
['752', '699', '620', '627', '950', '71', '556', '914', '645', '99', '745', '415', '64', '250', '773', '391', '614', '166', '522', '310', '921', '56', '962', '829', '527', '797', '241', '631', '730', '362', '814', '852', '122', '1', '343', '385', '352', '136', '782', '995']
['451', '169', '716', '413', '75', '80', '632', '55', '517', '219', '67', '188', '409', '419', '423', '87', '44', '347', '588', '877', '677', '458', '212', '314', '376', '37', '636', '779', '338', '332', '404', '474', '861', '865', '154', '769', '606', '546', '284', '190']
['604', '644', '437', '240', '937', '452', '685', '327', '251', '276', '875', '39', '755', '89', '715', '765', '100', '615', '641', '125', '808', '895', '568', '777', '824', '258', '179', '235', '371', '157', '530', '9', '38', '119', '506', '6', '949', '149', '402', '121']
['49', '349', '558', '963', '90', '485', '598', '459', '434', '870', '308', '600', '887', '364', '578', '207', '991', '836', '264', '802', '582', '940', '106', '693', '702', '265', '384', '194', '124', '457', '595', '370', '759', '138', '638', '571', '722', '176', '478', '503']
['911', '108', '255', '613', '91', '955', '395', '29', '876', '244', '683', '946', '562', '428', '468', '967', '548', '430', '381', '418', '837', '841', '142', '337', '948', '60', '774', '691', '572', '508', '24', '263', '462', '669', '278', '605', '915', '770', '768', '712']
['681', '358', '846', '140', '3', '471', '322', '535', '492', '509', '182', '978', '191', '939', '505', '639', '969', '987', '324', '800', '526', '356', '331', '330', '714', '666', '502', '287', '494', '248', '354', '367', '334', '847', '17', '972', '784', '831', '688', '968']
['66', '4', '554', '323', '120', '637', '810', '465', '893', '193', '208', '720', '966', '499', '533', '789', '761', '163', '344', '728', '378', '729', '507', '675', '854', '303', '296', '762', '51', '127', '254', '766', '816', '718', '472', '965', '280', '504', '826', '973']
['493', '443', '410', '174', '740', '76', '0', '383', '817', '798', '550', '576', '477', '676', '128', '757', '994', '579', '46', '930', '737', '750', '221', '274', '109', '751', '272', '956', '731', '897', '224', '839', '487', '141', '953', '855', '7', '420', '851', '592']
