['360', '604', '227', '253', '963', '804', '181', '817', '955', '860', '129', '391', '981', '887', '672', '34', '964', '977', '431', '888', '990', '362', '258', '772', '404', '665', '951', '718', '420', '256', '98']
['513', '685', '349', '971', '668', '601', '285', '657', '466', '835', '165', '715', '978', '56', '314', '947', '62', '692', '744', '622', '301', '287', '943', '361', '763', '830', '812', '756', '907', '171', '932']
['753', '18', '950', '327', '131', '795', '419', '135', '423', '664', '44', '89', '562', '435', '298', '439', '46', '819', '649', '101', '159', '22', '189', '675', '47', '10', '762', '671', '571', '136', '366']
['667', '537', '610', '985', '637', '843', '94', '477', '434', '100', '828', '603', '976', '379', '958', '938', '326', '737', '747', '841', '956', '674', '912', '270', '791', '281', '462', '650', '254', '93', '490']
['80', '116', '740', '542', '333', '91', '613', '710', '485', '210', '399', '128', '583', '704', '738', '845', '618', '891', '677', '838', '324', '696', '294', '793', '901', '313', '9', '758', '506', '546', '884']
['705', '108', '4', '627', '556', '201', '893', '476', '205', '640', '115', '180', '584', '152', '761', '325', '374', '282', '967', '28', '528', '586', '730', '706', '461', '102', '331', '288', '915', '229', '73']
['447', '246', '394', '369', '170', '58', '922', '514', '322', '576', '863', '368', '78', '422', '27', '505', '905', '602', '263', '70', '941', '1', '701', '861', '983', '818', '463', '616', '670', '176', '284']
['220', '410', '120', '467', '382', '3', '291', '849', '683', '727', '757', '904', '223', '440', '81', '164', '418', '184', '961', '37', '117', '491', '123', '194', '840', '595', '235', '530', '454', '524', '865']
['66', '557', '796', '113', '872', '959', '297', '445', '813', '615', '877', '45', '552', '355', '469', '221', '376', '531', '854', '777', '59', '594', '572', '237', '183', '85', '605', '112', '736', '154', '334']
['358', '395', '857', '351', '564', '612', '500', '522', '789', '801', '593', '808', '389', '687', '346', '702', '241', '643', '449', '356', '33', '408', '890', '432', '788', '319', '927', '760', '784', '662', '826']
['936', '75', '249', '365', '645', '99', '104', '416', '867', '317', '874', '364', '328', '883', '458', '363', '43', '497', '898', '337', '265', '473', '407', '536', '811', '403', '192', '989', '642', '647', '754']
['827', '245', '417', '307', '805', '427', '560', '925', '499', '147', '600', '345', '921', '468', '133', '455', '856', '527', '475', '631', '372', '669', '442', '759', '385', '160', '486', '770', '311', '954', '424']
['279', '178', '918', '632', '573', '174', '137', '535', '295', '450', '520', '421', '728', '842', '381', '106', '335', '41', '691', '441', '21', '107', '124', '551', '127', '597', '713', '633', '807', '965', '783']
['233', '937', '49', '517', '550', '509', '238', '39', '208', '720', '661', '873', '489', '895', '948', '398', '23', '590', '231', '698', '122', '894', '57', '200', '741', '638', '501', '851', '411', '688', '853']
['699', '269', '866', '82', '68', '709', '250', '193', '392', '902', '875', '87', '396', '778', '882', '581', '206', '862', '529', '26', '575', '339', '774', '30', '268', '623', '816', '934', '217', '289', '323']
['752', '663', '892', '620', '240', '538', '660', '8', '415', '833', '459', '158', '166', '350', '145', '428', '834', '211', '802', '481', '906', '153', '196', '438', '487', '502', '247', '924', '472', '92', '456']
['681', '306', '214', '275', '652', '745', '103', '244', '910', '946', '308', '549', '264', '962', '50', '114', '748', '731', '787', '5', '869', '387', '367', '658', '126', '858', '7', '352', '697', '252', '503']
['911', '554', '357', '570', '67', '0', '177', '629', '429', '397', '533', '765', '628', '850', '482', '659', '723', '653', '109', '526', '839', '243', '63', '543', '617', '400', '40', '72', '17', '831', '799']
['451', '236', '881', '644', '32', '55', '148', '342', '15', '771', '156', '785', '870', '614', '939', '125', '553', '433', '293', '717', '988', '566', '775', '24', '511', '790', '764', '119', '222', '149', '321']
['991', '65', '567', '580', '751', '199', '507', '479', '215', '742', '255', '95', '302', '105', '599', '202', '386', '889', '986', '766', '494', '225', '347', '641', '980', '260', '655', '161', '726', '498', '836']
