['228', '23', '8', '251', '932']
['209', '72', '721', '41', '472']
['406', '569', '865', '62', '732']
['298', '434', '870', '74', '19']
['627', '392', '650', '735', '394']
['57', '357', '16', '825', '272']
['693', '38', '838', '597', '837']
['886', '220', '167', '436', '404']
['292', '54', '166', '297', '620']
['157', '316', '322', '716', '638']
['454', '874', '116', '939', '43']
['625', '618', '386', '312', '747']
['527', '141', '585', '756', '600']
['107', '989', '589', '375', '68']
['180', '336', '265', '338', '247']
['818', '821', '823', '775', '426']
['675', '131', '655', '287', '622']
['783', '206', '580', '87', '422']
['241', '318', '994', '815', '962']
['577', '957', '379', '918', '598']
['170', '922', '574', '73', '428']
['374', '983', '814', '860', '489']
['501', '345', '300', '174', '443']
['97', '491', '475', '91', '884']
['952', '628', '11', '954', '329']
['158', '492', '946', '29', '557']
['641', '171', '772', '665', '442']
['888', '165', '710', '232', '473']
['554', '523', '573', '227', '89']
['277', '289', '326', '722', '414']
['542', '230', '52', '880', '497']
['6', '244', '449', '205', '605']
['931', '933', '850', '961', '891']
['871', '142', '788', '514', '528']
['671', '390', '824', '484', '210']
['306', '82', '656', '967', '548']
['672', '281', '453', '949', '866']
['889', '155', '980', '381', '520']
['799', '736', '308', '677', '972']
['792', '0', '203', '587', '681']
['168', '649', '226', '595', '420']
['534', '986', '733', '342', '323']
['104', '290', '791', '164', '702']
['753', '593', '786', '219', '480']
['123', '163', '93', '101', '857']
['902', '685', '71', '813', '61']
['293', '780', '644', '724', '403']
['934', '10', '478', '723', '433']
['526', '278', '985', '964', '90']
['944', '476', '60', '525', '739']
['197', '135', '867', '764', '828']
['360', '352', '868', '99', '32']
['537', '676', '321', '524', '431']
['40', '30', '445', '28', '405']
['335', '654', '200', '651', '566']
['119', '611', '969', '968', '186']
['451', '707', '56', '984', '311']
['2', '189', '564', '27', '658']
['607', '223', '94', '349', '229']
['877', '847', '176', '395', '470']
