['604', '699', '227', '233', '32', '357', '656', '660', '219', '542', '805', '952', '276', '817', '849', '210', '634', '684', '483', '859', '165', '533', '789', '815', '282', '355', '737', '26', '376', '838', '725']
['872', '609', '396', '870', '89', '146', '917', '738', '373', '470', '520', '603', '444', '433', '274', '109', '348', '635', '272', '11', '515', '696', '879', '698', '790', '596', '502', '257', '343', '268', '442']
['557', '140', '471', '833', '175', '629', '286', '64', '955', '476', '857', '560', '946', '544', '564', '845', '180', '562', '628', '385', '42', '571', '490', '521', '289', '185', '783', '949', '171', '478', '919']
['786', '579', '933', '152', '310', '328', '223', '363', '212', '575', '34', '856', '28', '346', '507', '259', '566', '302', '772', '262', '292', '462', '839', '5', '890', '622', '711', '287', '301', '953', '38']
['375', '892', '580', '716', '796', '570', '942', '137', '181', '285', '733', '550', '902', '821', '104', '78', '158', '173', '27', '522', '336', '750', '412', '951', '40', '472', '403', '712', '424', '662', '532']
['911', '806', '344', '430', '159', '335', '626', '436', '822', '526', '749', '23', '388', '449', '631', '591', '209', '97', '401', '24', '254', '894', '943', '816', '759', '93', '563', '690', '273', '229', '782']
['253', '820', '53', '573', '517', '131', '188', '427', '91', '90', '886', '485', '54', '297', '598', '876', '182', '882', '230', '429', '835', '466', '147', '500', '260', '584', '428', '505', '455', '747', '551']
['936', '169', '246', '279', '950', '116', '685', '148', '3', '668', '251', '197', '492', '15', '419', '896', '576', '242', '798', '657', '773', '683', '238', '676', '156', '778', '719', '421', '145', '364', '398']
['318', '191', '581', '724', '819', '469', '380', '211', '947', '497', '481', '199', '708', '184', '731', '888', '636', '686', '52', '265', '123', '102', '511', '692', '701', '235', '901', '371', '13', '606', '231']
['610', '360', '681', '245', '167', '68', '632', '349', '843', '637', '170', '922', '613', '535', '625', '710', '103', '416', '868', '925', '510', '715', '79', '317', '111', '122', '201', '252', '121', '853', '503']
['904', '482', '393', '621', '405', '314', '101', '567', '672', '687', '418', '837', '215', '748', '824', '691', '117', '572', '258', '864', '196', '508', '534', '194', '871', '330', '288', '944', '682', '780', '669']
['220', '269', '306', '937', '283', '479', '120', '327', '275', '105', '601', '322', '860', '85', '721', '168', '247', '623', '157', '617', '486', '536', '769', '463', '136', '920', '670', '954', '504', '425', '540']
['875', '707', '87', '391', '2', '614', '195', '588', '887', '939', '529', '921', '46', '593', '883', '834', '207', '649', '842', '480', '802', '541', '489', '693', '531', '956', '651', '226', '475', '179', '616']
['142', '602', '446', '362', '706', '372', '643', '590', '263', '281', '487', '267', '144', '271', '597', '316', '457', '63', '666', '611', '30', '605', '83', '830', '387', '496', '138', '126', '648', '501', '6']
['752', '65', '36', '66', '881', '178', '732', '410', '735', '467', '88', '556', '742', '255', '0', '67', '94', '365', '99', '804', '734', '524', '679', '655', '847', '161', '907', '414', '565', '754', '546']
['914', '746', '809', '277', '177', '291', '383', '395', '664', '519', '727', '720', '44', '499', '422', '910', '867', '115', '765', '308', '755', '615', '600', '329', '397', '757', '45', '850', '379', '325', '326']
['77', '552', '931', '228', '549', '723', '873', '808', '717', '81', '234', '20', '50', '106', '568', '324', '47', '585', '60', '84', '912', '299', '341', '905', '10', '678', '110', '762', '386', '702', '461']
['153', '889', '224', '331', '787', '33', '14', '408', '744', '543', '788', '878', '595', '200', '630', '367', '334', '915', '770', '756', '352', '718', '811', '17', '256', '484', '913', '402', '799', '98', '190']
