['227', '417', '820', '68', '538', '922', '427', '104', '77', '2', '738', '350', '862', '967', '339', '376', '199', '10', '62', '431', '636', '762', '278', '494', '311']
['781', '681', '66', '629', '250', '657', '193', '684', '130', '312', '228', '380', '81', '838', '50', '294', '117', '566', '590', '338', '787', '511', '454', '9', '411']
['240', '213', '67', '645', '805', '242', '129', '720', '396', '25', '529', '426', '163', '930', '808', '221', '829', '977', '695', '605', '154', '658', '847', '185', '171']
['32', '75', '985', '959', '733', '318', '205', '857', '510', '533', '845', '363', '987', '348', '947', '582', '748', '586', '774', '840', '926', '816', '561', '320', '546']
['4', '410', '846', '599', '860', '103', '821', '773', '115', '329', '715', '603', '45', '921', '282', '842', '491', '356', '814', '711', '266', '630', '367', '739', '915']
['220', '604', '55', '208', '882', '676', '958', '223', '61', '84', '272', '41', '270', '706', '97', '457', '1', '85', '622', '718', '136', '907', '954', '323', '190']
['525', '96', '80', '327', '131', '625', '419', '295', '145', '887', '639', '378', '848', '381', '687', '19', '28', '464', '797', '384', '794', '611', '176', '222', '721']
['735', '178', '18', '918', '928', '382', '395', '785', '345', '933', '440', '326', '653', '430', '729', '567', '315', '11', '822', '631', '388', '864', '126', '7', '92']
['65', '113', '570', '394', '646', '177', '719', '562', '761', '677', '155', '469', '274', '802', '751', '335', '526', '793', '107', '70', '766', '343', '770', '616', '592']
['911', '892', '253', '275', '137', '952', '771', '974', '859', '328', '298', '792', '693', '686', '258', '671', '121', '894', '669', '235', '741', '453', '403', '831', '884']
['810', '342', '471', '745', '833', '54', '589', '875', '519', '368', '147', '815', '293', '528', '777', '948', '643', '999', '880', '194', '984', '818', '769', '186', '98']
['465', '291', '896', '876', '664', '290', '757', '976', '518', '541', '898', '895', '69', '337', '993', '110', '839', '692', '825', '713', '160', '756', '858', '456', '478']
['705', '279', '245', '866', '479', '53', '709', '58', '188', '849', '500', '364', '903', '962', '929', '602', '111', '474', '890', '157', '830', '217', '655', '851', '913']
['233', '169', '140', '118', '587', '576', '640', '238', '156', '399', '946', '195', '628', '672', '164', '515', '906', '127', '569', '559', '855', '352', '498', '980', '252']
['437', '261', '660', '804', '175', '863', '87', '78', '612', '813', '828', '482', '336', '374', '806', '212', '912', '372', '153', '953', '488', '927', '571', '280', '972']
['148', '803', '963', '795', '560', '615', '552', '723', '728', '234', '489', '856', '905', '626', '142', '60', '775', '362', '776', '316', '257', '370', '93', '359', '119']
['358', '76', '914', '668', '99', '613', '817', '765', '568', '259', '572', '21', '449', '237', '534', '331', '597', '780', '701', '287', '248', '768', '606', '273', '73']
['269', '832', '249', '971', '601', '955', '146', '778', '867', '158', '899', '874', '46', '444', '969', '300', '324', '436', '143', '574', '682', '414', '192', '712', '853']
['936', '610', '881', '49', '982', '423', '614', '317', '522', '618', '34', '908', '24', '523', '698', '666', '878', '42', '38', '811', '472', '289', '229', '284', '726']
['732', '843', '105', '91', '885', '391', '429', '180', '939', '152', '325', '789', '203', '731', '12', '196', '262', '461', '83', '763', '951', '760', '784', '782', '198']
['752', '557', '997', '413', '204', '507', '47', '59', '214', '964', '365', '746', '509', '39', '340', '516', '268', '371', '924', '600', '334', '72', '505', '504', '264']
