['781', '465', '608', '476', '755', '704', '689', '344', '947', '418', '725', '448', '151', '124', '984', '330', '869', '861', '494', '266', '617', '812', '658', '126', '818', '7', '453', '186', '161', '403', '642']
['169', '342', '952', '64', '798', '495', '544', '813', '470', '393', '921', '728', '567', '199', '215', '491', '590', '762', '523', '331', '692', '288', '814', '714', '673', '217', '92', '697', '311', '979', '694']
['269', '735', '307', '140', '942', '3', '15', '492', '250', '210', '640', '483', '173', '130', '317', '325', '355', '969', '548', '469', '879', '209', '432', '83', '160', '400', '811', '411', '504', '884', '512']
['65', '246', '365', '613', '202', '197', '849', '509', '499', '406', '877', '428', '26', '575', '101', '341', '895', '272', '22', '675', '702', '908', '5', '840', '563', '407', '412', '40', '690', '927', '185']
['667', '918', '624', '120', '573', '452', '327', '843', '76', '242', '510', '25', '845', '724', '761', '958', '439', '426', '991', '808', '264', '841', '346', '335', '905', '545', '572', '791', '70', '953', '157']
['950', '167', '170', '558', '625', '419', '276', '395', '244', '773', '239', '45', '628', '976', '529', '593', '549', '381', '189', '706', '263', '401', '97', '408', '278', '473', '488', '414', '907', '662', '968']
['236', '410', '971', '99', '745', '886', '860', '422', '445', '583', '577', '351', '207', '967', '326', '339', '856', '674', '441', '888', '776', '265', '682', '316', '141', '543', '390', '851', '989', '721', '323']
['827', '620', '513', '82', '261', '174', '0', '54', '821', '560', '399', '910', '421', '588', '345', '903', '639', '430', '987', '480', '574', '897', '386', '457', '85', '763', '57', '334', '472', '425', '754']
['753', '108', '997', '240', '178', '467', '31', '795', '734', '893', '392', '634', '609', '819', '962', '314', '300', '324', '259', '294', '60', '449', '461', '243', '780', '986', '235', '387', '93', '463', '171']
['437', '646', '409', '629', '477', '974', '391', '564', '850', '505', '374', '555', '481', '464', '303', '475', '912', '793', '431', '566', '231', '304', '713', '343', '150', '247', '605', '679', '149', '546', '980']
['627', '820', '213', '652', '188', '746', '427', '998', '719', '533', '835', '100', '789', '957', '212', '992', '28', '751', '47', '526', '651', '977', '62', '594', '534', '790', '597', '926', '794', '176', '540']
['306', '700', '214', '148', '105', '599', '182', '925', '600', '336', '155', '389', '848', '109', '376', '829', '824', '172', '241', '362', '591', '123', '102', '487', '695', '941', '611', '924', '770', '847', '919']
['220', '66', '892', '716', '88', '645', '291', '103', '870', '180', '347', '145', '363', '378', '988', '19', '748', '356', '271', '669', '502', '943', '516', '371', '823', '138', '616', '17', '565', '98', '61']
['911', '447', '233', '227', '253', '413', '369', '255', '251', '882', '225', '738', '35', '218', '298', '489', '635', '568', '990', '779', '923', '153', '144', '901', '934', '623', '536', '521', '222', '484', '913']
['53', '68', '71', '539', '982', '232', '809', '959', '598', '466', '460', '757', '715', '887', '482', '364', '737', '455', '106', '11', '696', '37', '404', '816', '530', '524', '855', '136', '607', '995', '190']
['681', '975', '382', '846', '219', '517', '322', '181', '896', '187', '290', '87', '396', '614', '904', '677', '891', '873', '114', '143', '731', '999', '508', '671', '107', '384', '63', '622', '878', '367', '853']
['752', '663', '937', '305', '872', '67', '58', '94', '471', '135', '683', '295', '520', '373', '801', '792', '750', '930', '518', '221', '20', '698', '127', '711', '287', '830', '454', '736', '965', '273', '252']
['493', '80', '479', '394', '90', '285', '205', '603', '981', '862', '223', '883', '274', '81', '837', '515', '797', '678', '775', '299', '398', '654', '24', '650', '787', '267', '944', '301', '352', '280', '503']
['39', '741', '542', '154', '768', '438', '726', '852']
