['592', '300', '370', '184', '899', '927', '810', '628', '95', '119', '935', '760', '438', '761', '931', '404', '979', '955', '945', '728']
['287', '305', '944', '918', '475', '382', '317', '774', '255', '426', '472', '570', '379', '746', '298', '599', '817', '836', '193', '598']
['274', '509', '681', '104', '829', '905', '82', '934', '335', '859', '180', '739', '431', '232', '590', '202', '70', '487', '271', '973']
['773', '159', '113', '910', '429', '130', '617', '450', '160', '114', '526', '483', '574', '558', '679', '922', '907', '508', '498', '469']
['752', '129', '353', '169', '236', '824', '542', '412', '852', '37', '547', '874', '388', '258', '745', '468', '523', '419', '688', '826']
['821', '838', '557', '108', '199', '242', '895', '479', '518', '742', '374', '500', '435', '584', '921', '896', '107', '750', '304', '569']
['56', '525', '751', '651', '307', '470', '327', '369', '35', '270', '506', '471', '99', '325', '453', '171', '133', '512', '819', '432']
['381', '220', '714', '235', '240', '623', '75', '47', '311', '488', '83', '793', '334', '636', '185', '546', '277', '871', '135', '408']
['477', '164', '892', '868', '204', '635', '371', '57', '489', '538', '797', '9', '612', '702', '767', '680', '105', '110', '540', '713']
['582', '20', '442', '329', '568', '68', '909', '928', '586', '350', '658', '533', '446', '6', '923', '111', '804', '885', '737', '61']
['781', '717', '537', '81', '346', '413', '246', '515', '347', '27', '45', '476', '260', '310', '409', '263', '492', '440', '288', '857']
['244', '416', '34', '315', '507', '157', '946', '116', '259', '407', '615', '566', '724', '302', '772', '939', '223', '913', '212', '457']
['890', '527', '417', '656', '632', '93', '100', '344', '561', '807', '951', '731', '366', '864', '196', '262', '484', '462', '639', '389']
['743', '784', '375', '720', '644', '473', '456', '716', '736', '662', '49', '556', '600', '532', '697', '710', '231', '383', '787', '694']
['567', '841', '796', '554', '822', '503', '138', '394', '249', '818', '803', '648', '963', '862', '847', '608', '587', '792', '550', '664']
['559', '378', '208', '466', '605', '173', '573', '351', '813', '239', '930', '603', '981', '618', '218', '801', '243', '969', '430', '221']
['392', '911', '766', '447', '497', '936', '279', '626', '624', '215', '367', '143', '977', '117', '132', '897', '186', '591', '972', '151']
['729', '493', '802', '683', '676', '778', '2', '200', '583', '994', '15', '7', '398', '372', '982', '282', '402', '187', '29', '480']
['66', '330', '156', '481', '595', '577', '266', '142', '563', '441', '166', '832', '170', '352', '145', '668', '296', '428', '439', '474']
['666', '701', '361', '387', '898', '22', '41', '948', '460', '74', '294', '261', '67', '21', '670', '52', '265', '252', '692', '840']
['451', '798', '39', '390', '878', '870', '611', '633', '901', '306', '321', '358', '400', '275', '769', '188', '805', '33', '264', '360']
['253', '510', '578', '79', '661', '828', '588', '877', '572', '118', '529', '403', '625', '613', '285', '393', '621', '125', '205', '747']
['101', '827', '50', '19', '820', '53', '461', '961', '691', '740', '333', '31', '328', '420', '356', '228', '281', '198', '144', '405']
['780', '459', '495', '735', '268', '256', '685', '638', '486', '726', '616', '652', '91', '90', '886', '401', '326', '860', '764', '876']
['902', '785', '673', '295', '445', '167', '406', '59', '337', '46', '195', '756', '659', '677', '958', '139', '163', '127', '103', '423']
['992', '848', '755', '340', '649', '541', '708', '69', '693', '203', '226', '448', '718', '571', '241', '521', '776', '322', '553', '932']
['293', '354', '943', '341', '978', '516', '248', '530', '217', '768', '72', '655', '993', '161', '791', '565', '229', '653', '16', '190']
['753', '960', '65', '36', '134', '528', '422', '4', '410', '975', '174', '846', '924', '630', '0', '465', '94', '815', '338', '657']
['216', '519', '727', '115', '609', '89', '867', '454', '397', '915', '888', '770', '703', '795', '809', '177', '893', '650', '98', '395']
['991', '339', '234', '940', '452', '11', '765', '748', '855', '985', '904', '581', '971', '272', '777', '585', '535', '996', '549', '808']
['744', '894', '319', '124', '879', '912', '148', '536', '345', '491', '906', '386', '908', '237', '889', '806', '984', '814', '254', '941']
['162', '168', '247', '816', '42', '524', '411', '690', '995', '92', '136', '920', '289', '201', '192', '980', '504', '425', '73', '754']
