['495', '205', '33', '219', '788']
['820', '644', '187', '741', '429']
['47', '650', '379', '856', '279']
['736', '712', '453', '630', '774']
['500', '830', '965', '325', '747']
['424', '506', '881', '456', '378']
['120', '152', '418', '745', '893']
['816', '236', '645', '845', '536']
['575', '537', '111', '540', '394']
['155', '137', '300', '746', '370']
['31', '557', '944', '441', '846']
['571', '701', '705', '966', '793']
['369', '171', '164', '284', '796']
['785', '819', '411', '212', '972']
['95', '374', '237', '752', '347']
['17', '56', '135', '740', '202']
['627', '594', '617', '648', '539']
['291', '119', '909', '680', '449']
['781', '28', '507', '346', '725']
['501', '604', '948', '259', '184']
['84', '674', '191', '37', '731']
['265', '686', '172', '253', '302']
['262', '384', '839', '711', '32']
['458', '511', '611', '569', '443']
['123', '844', '287', '713', '880']
['901', '624', '83', '488', '30']
['400', '823', '154', '25', '561']
['320', '749', '656', '38', '457']
['989', '872', '662', '149', '403']
['433', '822', '592', '853', '405']
['681', '892', '928', '826', '80']
['339', '827', '525', '570', '480']
['667', '493', '113', '338', '937']
['102', '417', '214', '489', '334']
['397', '669', '131', '668', '382']
['886', '24', '54', '188', '251']
['851', '465', '297', '945', '377']
['87', '244', '459', '182', '833']
['952', '655', '434', '288', '445']
['959', '659', '761', '529', '921']
['629', '916', '649', '836', '207']
['216', '15', '970', '755', '842']
['718', '492', '780', '204', '141']
['757', '651', '930', '74', '174']
['922', '318', '776', '742', '590']
['51', '179', '144', '955', '791']
['162', '748', '597', '476', '878']
['255', '794', '849', '313', '907']
['454', '942', '29', '126', '319']
['760', '217', '620', '106', '125']
['359', '767', '232', '953', '664']
['222', '221', '974', '847', '546']
['960', '676', '735', '732', '932']
['700', '81', '538', '156', '524']
['577', '556', '832', '985', '249']
['583', '67', '982', '342', '76']
['450', '885', '589', '587', '285']
['902', '104', '863', '193', '240']
['416', '399', '396', '146', '866']
['422', '715', '180', '499', '78']
['912', '738', '166', '27', '600']
['877', '850', '521', '345', '136']
['228', '806', '440', '16', '801']
['513', '101', '653', '873', '109']
['568', '976', '800', '19', '585']
['324', '733', '961', '696', '990']
['631', '142', '654', '143', '388']
['356', '365', '110', '762', '591']
['70', '787', '26', '790', '682']
['596', '894', '543', '343', '363']
['381', '42', '721', '673', '943']
['380', '758', '273', '812', '915']
['192', '289', '670', '481', '185']
['782', '799', '323', '264', '348']
