['604', '881', '705', '4', '417', '305', '627', '213', '118', '746', '377', '177', '684', '397', '166', '195', '312', '921', '873', '649', '567', '898', '69', '961', '691', '824', '912', '779', '449', '839', '695', '271', '790', '1', '361', '536', '858', '273', '973', '503']
['493', '644', '49', '570', '395', '423', '771', '129', '875', '353', '755', '77', '859', '158', '757', '994', '619', '887', '874', '468', '808', '81', '515', '475', '143', '574', '270', '51', '262', '462', '331', '596', '168', '57', '561', '951', '760', '965', '176', '256']
['169', '557', '279', '872', '232', '601', '833', '629', '896', '720', '483', '460', '406', '719', '978', '510', '139', '133', '548', '378', '314', '988', '940', '335', '37', '566', '23', '999', '762', '338', '671', '332', '650', '266', '812', '9', '718', '463', '501', '161']
['82', '333', '803', '0', '652', '94', '105', '945', '902', '208', '87', '173', '641', '981', '850', '206', '328', '552', '458', '834', '26', '326', '455', '50', '568', '203', '114', '11', '686', '438', '356', '508', '288', '759', '486', '320', '920', '186', '546', '121']
['283', '55', '846', '810', '613', '608', '998', '576', '882', '910', '813', '45', '891', '282', '621', '737', '376', '528', '635', '905', '215', '84', '626', '585', '693', '62', '597', '714', '788', '354', '669', '595', '830', '823', '284', '119', '17', '484', '43', '190']
['685', '327', '307', '148', '740', '805', '15', '318', '135', '250', '657', '821', '225', '581', '145', '579', '933', '56', '582', '837', '725', '41', '822', '775', '654', '258', '292', '16', '941', '611', '623', '42', '496', '770', '453', '201', '949', '149', '198', '688']
['66', '525', '513', '349', '219', '517', '365', '952', '849', '857', '290', '230', '329', '533', '435', '393', '801', '806', '355', '348', '101', '234', '184', '47', '341', '956', '906', '372', '153', '534', '880', '296', '852', '343', '530', '630', '72', '171', '592', '73']
['134', '437', '113', '624', '261', '58', '922', '427', '495', '868', '434', '450', '661', '588', '996', '987', '481', '800', '337', '60', '774', '299', '879', '226', '491', '52', '984', '766', '390', '642', '473', '371', '739', '680', '907', '712', '913', '402', '799', '512']
['752', '116', '76', '131', '942', '809', '242', '205', '193', '399', '870', '351', '317', '628', '522', '529', '374', '469', '433', '848', '300', '346', '388', '908', '523', '551', '304', '764', '432', '408', '141', '387', '454', '915', '7', '352', '607', '414', '280', '192']
['375', '681', '558', '963', '804', '322', '175', '589', '664', '477', '459', '147', '612', '100', '421', '373', '962', '947', '838', '86', '970', '675', '441', '594', '21', '776', '362', '151', '814', '144', '744', '666', '301', '638', '412', '818', '655', '185', '697', '61']
['753', '960', '620', '937', '358', '700', '479', '668', '703', '277', '886', '893', '550', '974', '765', '562', '347', '677', '428', '439', '593', '575', '728', '381', '204', '489', '708', '748', '674', '586', '572', '384', '474', '569', '682', '840', '502', '726', '498', '647']
['53', '120', '573', '174', '742', '640', '392', '863', '39', '2', '445', '946', '564', '618', '826', '46', '125', '802', '541', '782', '793', '591', '281', '698', '944', '85', '278', '488', '38', '334', '40', '690', '472', '366', '722', '222', '565', '662', '323', '754']
['663', '18', '985', '465', '188', '599', '885', '485', '276', '509', '115', '156', '368', '130', '544', '899', '311', '603', '724', '958', '298', '792', '389', '221', '28', '545', '172', '12', '706', '237', '791', '102', '183', '605', '370', '865', '571', '616', '229', '456']
['892', '178', '68', '971', '645', '197', '419', '860', '798', '210', '614', '379', '155', '440', '344', '430', '380', '274', '856', '895', '259', '909', '696', '602', '749', '897', '590', '890', '986', '701', '633', '442', '93', '400', '756', '420', '954', '989', '979', '919']
['610', '99', '959', '54', '519', '466', '715', '828', '426', '223', '969', '363', '553', '211', '159', '34', '841', '687', '507', '199', '464', '948', '294', '117', '977', '526', '224', '543', '257', '340', '943', '763', '319', '154', '126', '935', '767', '679', '506', '98']
