['743', '451', '525', '796', '982', '377', '798', '476', '684', '225', '976', '931', '689', '548', '221', '381', '708', '693', '800', '572', '243', '271', '597', '457', '744', '983', '690', '920', '414', '697', '913']
['592', '918', '382', '394', '307', '640', '785', '925', '391', '868', '577', '533', '399', '887', '761', '529', '677', '836', '728', '348', '1072', '717', '376', '491', '237', '762', '404', '432', '595', '818', '884']
['1053', '305', '410', '413', '349', '214', '365', '625', '181', '1044', '242', '664', '835', '726', '223', '653', '1082', '341', '324', '1063', '702', '787', '840', '869', '385', '463', '229', '1061', '995', '853', '932']
['752', '220', '610', '892', '952', '589', '485', '707', '755', '1104', '757', '738', '615', '439', '723', '433', '234', '567', '164', '1034', '749', '1006', '1039', '267', '502', '387', '217', '739', '289', '907', '783']
['827', '452', '570', '170', '427', '955', '187', '205', '504', '771', '974', '634', '778', '583', '562', '195', '345', '618', '815', '1010', '750', '725', '1092', '1004', '594', '906', '908', '844', '192', '949', '831']
['537', '663', '233', '283', '613', '809', '893', '1080', '392', '1105', '1052', '614', '765', '166', '198', '874', '522', '916', '819', '747', '418', '774', '897', '153', '901', '816', '759', '563', '616', '498', '1101']
['375', '960', '699', '1005', '253', '240', '950', '985', '742', '539', '297', '244', '1045', '841', '215', '259', '696', '999', '265', '194', '698', '839', '986', '669', '247', '1093', '736', '157', '617', '655', '851']
['245', '997', '558', '734', '629', '998', '550', '1103', '460', '500', '659', '328', '155', '1030', '903', '264', '553', '274', '1079', '337', '398', '292', '331', '408', '900', '248', '741', '366', '171', '252', '321']
['178', '820', '810', '369', '175', '197', '849', '210', '466', '379', '355', '159', '802', '172', '824', '226', '1025', '523', '825', '1035', '953', '865', '924', '407', '807', '334', '1026', '1083', '521', '201', '565']
['667', '936', '557', '269', '700', '251', '318', '395', '683', '821', '402', '158', '994', '308', '933', '593', '549', '639', '947', '1016', '507', '515', '1028', '964', '871', '943', '606', '767', '185', '1002', '1062']
['1024', '872', '1048', '1032', '514', '1014', '720', '882', '564', '786', '347', '828', '239', '482', '801', '228', '575', '293', '541', '199', '272', '797', '977', '1001', '332', '941', '934', '266', '222', '284', '688']
['735', '443', '249', '255', '833', '285', '598', '477', '368', '870', '603', '581', '1013', '834', '737', '829', '686', '776', '258', '880', '281', '682', '890', '596', '150', '160', '756', '1018', '453', '954', '799']
['681', '1050', '620', '647', '467', '573', '609', '173', '584', '578', '806', '430', '992', '672', '837', '315', '1085', '956', '636', '1097', '224', '511', '1043', '633', '301', '340', '1094', '768', '403', '662', '721']
['236', '881', '1095', '860', '1060', '276', '238', '966', '396', '499', '1046', '813', '373', '850', '444', '1064', '380', '216', '497', '635', '674', '772', '864', '1071', '713', '861', '530', '547', '718', '1102', '989']
['580', '213', '599', '804', '1106', '519', '156', '628', '344', '455', '649', '848', '203', '585', '448', '1008', '362', '438', '449', '508', '671', '263', '1051', '1086', '473', '370', '561', '670', '546', '784', '694']
