['PSZDK', 'RQZPM', 'LCHJI', 'KUMCW', 'OMYLR']
['JAFZN', 'IGAXC', 'TAIVA', 'GUDYJ', 'KPECP']
['DSQUZ', 'AILUZ', 'UQKOV', 'KCHSD', 'QYWKX']
['FZBVB', 'IZMEQ', 'WOIJX', 'GOXXP', 'CHIJG']
['CVNCZ', 'AGDTK', 'EWNSH', 'TKYGG', 'BNJLP']
['JMYIA', 'XBLXM', 'VATKD', 'BJTHH', 'EFKRH']
['MIKDS', 'NSTKH', 'AXQPJ', 'GWJWE', 'WWYEF']
['TBPZM', 'LSZMU', 'OVYDG', 'WCFRY', 'AWUBI']
['DFBMK', 'KEMJT', 'IXMQO', 'SHLYA', 'SYIZZ']
['ERQBP', 'OXRUQ', 'TUSMK', 'QQXNO', 'NKCOJ']
['RUGKU', 'WUCQA', 'KQUJH', 'HXXMK', 'ZBJTS']
['KXMSB', 'TFWCC', 'XAOMD', 'DCJPL', 'QSYML']
['LNIAF', 'ZJPJO', 'SRFIJ', 'HKVZW', 'UHYVL']
['SRUUN', 'IRNCA', 'TFGVT', 'TEFPC', 'TYMOI']
['NHQWU', 'RJDRX', 'ZLQYF', 'QBZQQ', 'CIBMR']
['TFEWH', 'GBGAG', 'BLHOQ', 'BEIFF', 'MESKQ']
